2026-08-08 01:20:32 | INFO | Fetching S&P 500 stocks from Wikipedia
2026-08-08 01:20:32 | INFO | S&P 500 source: Wikipedia live list (503 stocks)
2026-08-08 01:20:34 | INFO | 🟢 HOLD_ADD   | MMM             | $    182.90 | Above all weekly EMAs
2026-08-08 01:22:58 | INFO | 🟢 HOLD_ADD   | BX              | $    137.13 | Above all weekly EMAs
2026-08-08 01:23:00 | INFO | 🟢 HOLD_ADD   | XYZ             | $     79.00 | Above all weekly EMAs
2026-08-08 01:23:02 | INFO | 🟢 HOLD_ADD   | BNY             | $    157.61 | Above all weekly EMAs
2026-08-08 01:23:05 | INFO | 🟡 WAIT       | BA              | $    234.42 | EMAs converging, no breakout yet
2026-08-08 01:23:07 | INFO | ✅ BULLISH    | BKNG            | $    214.42 | Resistance breakout with EMAs converging
2026-08-08 01:23:09 | INFO | 🔴 EXIT       | BSX             | $     49.31 | Below 40W EMA
2026-08-08 01:23:11 | INFO | 🟢 HOLD_ADD   | BMY             | $     64.72 | Above all weekly EMAs
2026-08-08 01:23:13 | INFO | 🟢 HOLD_ADD   | AVGO            | $    427.76 | Above all weekly EMAs
2026-08-08 01:23:15 | INFO | 🔴 EXIT       | BR              | $    166.50 | Below 40W EMA
2026-08-08 01:23:17 | INFO | 🔴 EXIT       | BRO             | $     71.43 | Below 40W EMA
2026-08-08 01:23:20 | INFO | 🟡 WAIT       | BF-B            | $     28.52 | EMAs converging, no breakout yet
2026-08-08 01:23:22 | INFO | 🔴 EXIT       | BLDR            | $     74.69 | Below 40W EMA
2026-08-08 01:23:24 | INFO | 🔴 EXIT       | BG              | $    108.38 | Below 40W EMA
2026-08-08 01:23:26 | INFO | 🟢 HOLD_ADD   | BXP             | $     69.71 | Above all weekly EMAs
2026-08-08 01:23:28 | INFO | 🔴 EXIT       | CHRW            | $    149.35 | Below 40W EMA
2026-08-08 01:23:30 | INFO | 🟠 CAUTIOUS   | CDNS            | $    339.24 | Below 20W EMA
2026-08-08 01:23:33 | INFO | 🟢 HOLD_ADD   | CPT             | $    111.93 | Above all weekly EMAs
2026-08-08 01:23:35 | INFO | ✅ BULLISH    | COF             | $    217.76 | Resistance breakout with EMAs converging
2026-08-08 01:23:37 | INFO | 🟢 HOLD_ADD   | CAH             | $    236.40 | Above all weekly EMAs
2026-08-08 01:23:39 | INFO | 🟡 WAIT       | CCL             | $     28.99 | EMAs converging, no breakout yet
2026-08-08 01:23:41 | INFO | 🟠 CAUTIOUS   | CARR            | $     64.01 | Below 20W EMA
2026-08-08 01:23:43 | INFO | 🟡 WAIT       | CVNA            | $     70.85 | EMAs converging, no breakout yet
2026-08-08 01:23:46 | INFO | 🟢 HOLD_ADD   | CASY            | $    833.95 | Above all weekly EMAs
2026-08-08 01:23:48 | INFO | 🟠 CAUTIOUS   | CAT             | $    842.19 | Below 20W EMA
2026-08-08 01:23:50 | INFO | 🟡 WAIT       | CBOE            | $    286.58 | EMAs converging, no breakout yet
2026-08-08 01:23:52 | INFO | 🟡 WAIT       | CBRE            | $    148.18 | EMAs converging, no breakout yet
2026-08-08 01:23:54 | INFO | 🟡 WAIT       | CDW             | $    135.81 | EMAs converging, no breakout yet
2026-08-08 01:23:56 | INFO | 🟡 WAIT       | COR             | $    320.46 | EMAs converging, no breakout yet
2026-08-08 01:23:59 | INFO | 🟢 HOLD_ADD   | CNC             | $     65.77 | Above all weekly EMAs
2026-08-08 01:24:01 | INFO | 🔴 EXIT       | CNP             | $     40.68 | Below 40W EMA
2026-08-08 01:24:03 | INFO | 🟠 CAUTIOUS   | CF              | $    114.35 | Below 20W EMA
2026-08-08 01:24:05 | INFO | 🟢 HOLD_ADD   | CRL             | $    267.49 | Above all weekly EMAs
2026-08-08 01:24:07 | INFO | 🟢 HOLD_ADD   | SCHW            | $    107.60 | Above all weekly EMAs
2026-08-08 01:24:09 | INFO | 🔴 EXIT       | CHTR            | $    152.57 | Below 40W EMA
2026-08-08 01:24:12 | INFO | 🟢 HOLD_ADD   | CVX             | $    186.56 | Above all weekly EMAs
2026-08-08 01:24:14 | INFO | 🔴 EXIT       | CMG             | $     32.79 | Below 40W EMA
2026-08-08 01:24:16 | INFO | 🟢 HOLD_ADD   | CB              | $    350.31 | Above all weekly EMAs
2026-08-08 01:24:18 | INFO | 🟡 WAIT       | CHD             | $    103.24 | EMAs converging, no breakout yet
2026-08-08 01:24:20 | INFO | 🟠 CAUTIOUS   | CIEN            | $    412.39 | Below 20W EMA
2026-08-08 01:24:23 | INFO | 🟡 WAIT       | CI              | $    282.49 | EMAs converging, no breakout yet
2026-08-08 01:24:25 | INFO | 🟢 HOLD_ADD   | CINF            | $    176.86 | Above all weekly EMAs
2026-08-08 01:24:27 | INFO | 🟡 WAIT       | CTAS            | $    203.05 | EMAs converging, no breakout yet
2026-08-08 01:24:29 | INFO | 🟢 HOLD_ADD   | CSCO            | $    121.43 | Above all weekly EMAs
2026-08-08 01:24:31 | INFO | 🟢 HOLD_ADD   | C               | $    135.00 | Above all weekly EMAs
2026-08-08 01:24:33 | INFO | 🟢 HOLD_ADD   | CFG             | $     72.67 | Above all weekly EMAs
2026-08-08 01:24:36 | INFO | 🟢 HOLD_ADD   | CLX             | $    105.15 | Above all weekly EMAs
2026-08-08 01:24:38 | INFO | 🔴 EXIT       | CME             | $    263.66 | Below 40W EMA
2026-08-08 01:24:40 | INFO | 🟡 WAIT       | CMS             | $     71.03 | EMAs converging, no breakout yet
2026-08-08 01:24:42 | INFO | 🟢 HOLD_ADD   | KO              | $     87.05 | Above all weekly EMAs
2026-08-08 01:24:45 | INFO | 🔴 EXIT       | CTSH            | $     57.67 | Below 40W EMA
2026-08-08 01:24:47 | INFO | 🟢 HOLD_ADD   | COHR            | $    379.13 | Above all weekly EMAs
2026-08-08 01:24:49 | INFO | 🔴 EXIT       | COIN            | $    153.60 | Below 40W EMA
2026-08-08 01:24:51 | INFO | 🟢 HOLD_ADD   | CL              | $     93.27 | Above all weekly EMAs
2026-08-08 01:24:53 | INFO | 🔴 EXIT       | CMCSA           | $     25.36 | Below 40W EMA
2026-08-08 01:24:55 | INFO | 🟣 FADING     | FIX             | $   1694.55 | Below 10W EMA - momentum fading
2026-08-08 01:24:58 | INFO | 🟢 HOLD_ADD   | COP             | $    117.61 | Above all weekly EMAs
2026-08-08 01:25:00 | INFO | 🟡 WAIT       | ED              | $    107.98 | EMAs converging, no breakout yet
2026-08-08 01:25:02 | INFO | 🔴 EXIT       | STZ             | $    135.76 | Below 40W EMA
2026-08-08 01:25:04 | INFO | 🔴 EXIT       | CEG             | $    269.89 | Below 40W EMA
2026-08-08 01:25:06 | INFO | 🟡 WAIT       | COO             | $     74.23 | EMAs converging, no breakout yet
2026-08-08 01:25:08 | INFO | 🔴 EXIT       | CPRT            | $     29.66 | Below 40W EMA
2026-08-08 01:25:11 | INFO | 🟣 FADING     | GLW             | $    165.68 | Below 10W EMA - momentum fading
2026-08-08 01:25:13 | INFO | 🟢 HOLD_ADD   | CPAY            | $    392.94 | Above all weekly EMAs
2026-08-08 01:25:15 | INFO | 🔴 EXIT       | CTVA            | $     76.83 | Below 40W EMA
2026-08-08 01:25:17 | INFO | 🔴 EXIT       | CSGP            | $     30.24 | Below 40W EMA
2026-08-08 01:25:19 | INFO | 🟡 WAIT       | COST            | $    947.82 | EMAs converging, no breakout yet
2026-08-08 01:25:21 | INFO | 🔴 EXIT       | CRH             | $    100.48 | Below 40W EMA
2026-08-08 01:25:24 | INFO | 🟢 HOLD_ADD   | CRWD            | $    214.42 | Above all weekly EMAs
2026-08-08 01:25:26 | INFO | 🔴 EXIT       | CCI             | $     75.59 | Below 40W EMA
2026-08-08 01:25:28 | INFO | 🟢 HOLD_ADD   | CSX             | $     50.27 | Above all weekly EMAs
2026-08-08 01:25:30 | INFO | 🟣 FADING     | CMI             | $    644.26 | Below 10W EMA - momentum fading
2026-08-08 01:25:32 | INFO | 🟣 FADING     | CVS             | $     95.70 | Below 10W EMA - momentum fading
2026-08-08 01:25:35 | INFO | 🟡 WAIT       | DHR             | $    204.76 | EMAs converging, no breakout yet
2026-08-08 01:25:37 | INFO | 🟡 WAIT       | DRI             | $    213.76 | EMAs converging, no breakout yet
2026-08-08 01:25:39 | INFO | 🟣 FADING     | DDOG            | $    233.93 | Below 10W EMA - momentum fading
2026-08-08 01:25:41 | INFO | 🟠 CAUTIOUS   | DVA             | $    183.77 | Below 20W EMA
2026-08-08 01:25:43 | INFO | 🔴 EXIT       | DECK            | $     97.46 | Below 40W EMA
2026-08-08 01:25:45 | INFO | 🟢 HOLD_ADD   | DE              | $    620.83 | Above all weekly EMAs
2026-08-08 01:25:48 | INFO | 🟢 HOLD_ADD   | DELL            | $    453.77 | Above all weekly EMAs
2026-08-08 01:25:50 | INFO | 🟢 HOLD_ADD   | DAL             | $     91.34 | Above all weekly EMAs
2026-08-08 01:25:52 | INFO | 🟠 CAUTIOUS   | DVN             | $     42.98 | Below 20W EMA
2026-08-08 01:25:54 | INFO | 🟢 HOLD_ADD   | DXCM            | $     84.75 | Above all weekly EMAs
2026-08-08 01:25:56 | INFO | 🟣 FADING     | FANG            | $    188.04 | Below 10W EMA - momentum fading
2026-08-08 01:25:59 | INFO | 🟢 HOLD_ADD   | DLR             | $    193.80 | Above all weekly EMAs
2026-08-08 01:26:01 | INFO | 🟡 WAIT       | DG              | $    126.59 | EMAs converging, no breakout yet
2026-08-08 01:26:03 | INFO | 🟢 HOLD_ADD   | DLTR            | $    130.90 | Above all weekly EMAs
2026-08-08 01:26:05 | INFO | 🟣 FADING     | D               | $     67.39 | Below 10W EMA - momentum fading
2026-08-08 01:26:07 | INFO | 🔴 EXIT       | DPZ             | $    350.95 | Below 40W EMA
2026-08-08 01:26:09 | INFO | ✅ BULLISH    | DASH            | $    216.26 | Resistance breakout with EMAs converging
2026-08-08 01:26:12 | INFO | 🟡 WAIT       | DOV             | $    211.13 | EMAs converging, no breakout yet
2026-08-08 01:26:14 | INFO | 🟡 WAIT       | DOW             | $     29.34 | EMAs converging, no breakout yet
2026-08-08 01:26:16 | INFO | 🟡 WAIT       | DHI             | $    151.08 | EMAs converging, no breakout yet
2026-08-08 01:26:18 | INFO | 🟡 WAIT       | DTE             | $    139.87 | EMAs converging, no breakout yet
2026-08-08 01:26:20 | INFO | 🟡 WAIT       | DUK             | $    124.85 | EMAs converging, no breakout yet
2026-08-08 01:26:23 | INFO | 🟢 HOLD_ADD   | DD              | $    142.47 | Above all weekly EMAs
2026-08-08 01:26:25 | INFO | 🟢 HOLD_ADD   | ETN             | $    448.68 | Above all weekly EMAs
2026-08-08 01:26:27 | INFO | 🟢 HOLD_ADD   | EBAY            | $    111.98 | Above all weekly EMAs
2026-08-08 01:26:29 | INFO | 🔴 EXIT       | ECHO            | $     90.04 | Below 40W EMA
2026-08-08 01:26:31 | INFO | 🟡 WAIT       | ECL             | $    285.17 | EMAs converging, no breakout yet
2026-08-08 01:26:34 | INFO | 🟠 CAUTIOUS   | EIX             | $     68.62 | Below 20W EMA
2026-08-08 01:26:36 | INFO | 🟢 HOLD_ADD   | EW              | $     89.72 | Above all weekly EMAs
2026-08-08 01:26:38 | INFO | 🟢 HOLD_ADD   | ELV             | $    394.20 | Above all weekly EMAs
2026-08-08 01:26:40 | INFO | 🟢 HOLD_ADD   | EME             | $    816.90 | Above all weekly EMAs
2026-08-08 01:26:42 | INFO | 🟢 HOLD_ADD   | EMR             | $    158.26 | Above all weekly EMAs
2026-08-08 01:26:45 | INFO | 🟠 CAUTIOUS   | ETR             | $    107.18 | Below 20W EMA
2026-08-08 01:26:47 | INFO | 🟣 FADING     | EOG             | $    134.74 | Below 10W EMA - momentum fading
2026-08-08 01:26:49 | INFO | 🔴 EXIT       | EQT             | $     51.69 | Below 40W EMA
2026-08-08 01:26:51 | INFO | 🔴 EXIT       | EFX             | $    182.56 | Below 40W EMA
2026-08-08 01:26:53 | INFO | 🟣 FADING     | EQIX            | $   1042.62 | Below 10W EMA - momentum fading
2026-08-08 01:26:56 | INFO | 🟢 HOLD_ADD   | EQR             | $     67.07 | Above all weekly EMAs
2026-08-08 01:26:58 | INFO | 🔴 EXIT       | ERIE            | $    252.58 | Below 40W EMA
2026-08-08 01:27:00 | INFO | 🟢 HOLD_ADD   | ESS             | $    288.10 | Above all weekly EMAs
2026-08-08 01:27:02 | INFO | 🟢 HOLD_ADD   | EL              | $     88.35 | Above all weekly EMAs
2026-08-08 01:27:04 | INFO | 🟢 HOLD_ADD   | EG              | $    374.96 | Above all weekly EMAs
2026-08-08 01:27:07 | INFO | 🟣 FADING     | EVRG            | $     83.38 | Below 10W EMA - momentum fading
2026-08-08 01:27:09 | INFO | 🟣 FADING     | ES              | $     72.33 | Below 10W EMA - momentum fading
2026-08-08 01:27:11 | INFO | 🟡 WAIT       | EXC             | $     45.61 | EMAs converging, no breakout yet
2026-08-08 01:27:13 | INFO | 🔴 EXIT       | EXE             | $     92.84 | Below 40W EMA
2026-08-08 01:27:15 | INFO | 🟢 HOLD_ADD   | EXPE            | $    310.68 | Above all weekly EMAs
2026-08-08 01:27:18 | INFO | 🟢 HOLD_ADD   | EXPD            | $    178.71 | Above all weekly EMAs
2026-08-08 01:27:20 | INFO | 🟢 HOLD_ADD   | EXR             | $    149.54 | Above all weekly EMAs
2026-08-08 01:27:22 | INFO | 🟢 HOLD_ADD   | XOM             | $    153.04 | Above all weekly EMAs
2026-08-08 01:27:24 | INFO | 🟢 HOLD_ADD   | FFIV            | $    400.23 | Above all weekly EMAs
2026-08-08 01:27:26 | INFO | 🟢 HOLD_ADD   | FDS             | $    285.57 | Above all weekly EMAs
2026-08-08 01:27:29 | INFO | 🔴 EXIT       | FICO            | $   1041.40 | Below 40W EMA
2026-08-08 01:27:31 | INFO | 🟢 HOLD_ADD   | FAST            | $     51.84 | Above all weekly EMAs
2026-08-08 01:27:33 | INFO | 🟣 FADING     | FRT             | $    118.69 | Below 10W EMA - momentum fading
2026-08-08 01:27:35 | INFO | 🟢 HOLD_ADD   | FDX             | $    318.57 | Above all weekly EMAs
2026-08-08 01:27:37 | WARNING | FDXF: Insufficient data for analysis
2026-08-08 01:27:39 | INFO | 🟡 WAIT       | FERG            | $    256.69 | EMAs converging, no breakout yet
2026-08-08 01:27:41 | INFO | 🔴 EXIT       | FIS             | $     42.77 | Below 40W EMA
2026-08-08 01:27:44 | INFO | 🟢 HOLD_ADD   | FITB            | $     57.09 | Above all weekly EMAs
2026-08-08 01:27:46 | INFO | 🟡 WAIT       | FSLR            | $    250.05 | EMAs converging, no breakout yet
2026-08-08 01:27:48 | INFO | 🟡 WAIT       | FE              | $     47.47 | EMAs converging, no breakout yet
2026-08-08 01:27:50 | INFO | 🔴 EXIT       | FISV            | $     52.41 | Below 40W EMA
2026-08-08 01:27:52 | INFO | 🟣 FADING     | FLEX            | $    121.35 | Below 10W EMA - momentum fading
2026-08-08 01:27:54 | INFO | 🟣 FADING     | F               | $     13.98 | Below 10W EMA - momentum fading
2026-08-08 01:27:57 | INFO | 🟢 HOLD_ADD   | FTNT            | $    159.64 | Above all weekly EMAs
2026-08-08 01:27:59 | INFO | 🟢 HOLD_ADD   | FTV             | $     61.71 | Above all weekly EMAs
2026-08-08 01:28:01 | INFO | 🟡 WAIT       | FOXA            | $     64.03 | EMAs converging, no breakout yet
2026-08-08 01:28:03 | INFO | 🟡 WAIT       | FOX             | $     57.03 | EMAs converging, no breakout yet
2026-08-08 01:28:05 | INFO | 🟢 HOLD_ADD   | BEN             | $     33.77 | Above all weekly EMAs
2026-08-08 01:28:07 | INFO | 🟢 HOLD_ADD   | FCX             | $     69.62 | Above all weekly EMAs
2026-08-08 01:28:10 | INFO | 🟢 HOLD_ADD   | GRMN            | $    310.89 | Above all weekly EMAs
2026-08-08 01:28:12 | INFO | 🔴 EXIT       | IT              | $    185.60 | Below 40W EMA
2026-08-08 01:28:14 | INFO | 🟢 HOLD_ADD   | GE              | $    370.08 | Above all weekly EMAs
2026-08-08 01:28:16 | INFO | 🟢 HOLD_ADD   | GEHC            | $     71.77 | Above all weekly EMAs
2026-08-08 01:28:18 | INFO | 🟣 FADING     | GEV             | $    990.32 | Below 10W EMA - momentum fading
2026-08-08 01:28:20 | INFO | 🟢 HOLD_ADD   | GEN             | $     29.17 | Above all weekly EMAs
2026-08-08 01:28:23 | INFO | 🔴 EXIT       | GNRC            | $    212.22 | Below 40W EMA
2026-08-08 01:28:25 | INFO | 🟢 HOLD_ADD   | GD              | $    392.05 | Above all weekly EMAs
2026-08-08 01:28:27 | INFO | 🔴 EXIT       | GIS             | $     36.89 | Below 40W EMA
2026-08-08 01:28:29 | INFO | 🟢 HOLD_ADD   | GM              | $     87.58 | Above all weekly EMAs
2026-08-08 01:28:31 | INFO | 🟢 HOLD_ADD   | GPC             | $    135.63 | Above all weekly EMAs
2026-08-08 01:28:34 | INFO | 🟡 WAIT       | GILD            | $    133.21 | EMAs converging, no breakout yet
2026-08-08 01:28:36 | INFO | 🟢 HOLD_ADD   | GPN             | $     86.12 | Above all weekly EMAs
2026-08-08 01:28:38 | INFO | 🟢 HOLD_ADD   | GL              | $    183.85 | Above all weekly EMAs
2026-08-08 01:28:40 | INFO | 🔴 EXIT       | GDDY            | $     91.07 | Below 40W EMA
2026-08-08 01:28:42 | INFO | 🟢 HOLD_ADD   | GS              | $   1039.61 | Above all weekly EMAs
2026-08-08 01:28:45 | INFO | 🔴 EXIT       | HAL             | $     31.89 | Below 40W EMA
2026-08-08 01:28:47 | INFO | 🟢 HOLD_ADD   | HIG             | $    143.28 | Above all weekly EMAs
2026-08-08 01:28:49 | INFO | 🟡 WAIT       | HAS             | $     93.52 | EMAs converging, no breakout yet
2026-08-08 01:28:51 | INFO | 🔴 EXIT       | HCA             | $    413.36 | Below 40W EMA
2026-08-08 01:28:53 | INFO | 🟢 HOLD_ADD   | DOC             | $     21.41 | Above all weekly EMAs
2026-08-08 01:28:55 | INFO | 🟢 HOLD_ADD   | HSIC            | $     88.13 | Above all weekly EMAs
2026-08-08 01:28:58 | INFO | 🔴 EXIT       | HSY             | $    182.35 | Below 40W EMA
2026-08-08 01:29:00 | INFO | 🟢 HOLD_ADD   | HPE             | $     53.22 | Above all weekly EMAs
2026-08-08 01:29:02 | INFO | 🟠 CAUTIOUS   | HLT             | $    317.60 | Below 20W EMA
2026-08-08 01:29:04 | INFO | 🟡 WAIT       | HD              | $    355.62 | EMAs converging, no breakout yet
2026-08-08 01:29:06 | WARNING | HONA: Insufficient data for analysis
2026-08-08 01:29:08 | INFO | 🟢 HOLD_ADD   | HON             | $    246.21 | Above all weekly EMAs
2026-08-08 01:29:11 | INFO | 🟢 HOLD_ADD   | HRL             | $     25.02 | Above all weekly EMAs
2026-08-08 01:29:13 | INFO | 🟣 FADING     | HST             | $     23.29 | Below 10W EMA - momentum fading
2026-08-08 01:29:15 | INFO | 🟢 HOLD_ADD   | HWM             | $    281.88 | Above all weekly EMAs
2026-08-08 01:29:17 | INFO | 🟢 HOLD_ADD   | HPQ             | $     30.05 | Above all weekly EMAs
2026-08-08 01:29:19 | INFO | 🟡 WAIT       | HUBB            | $    513.99 | EMAs converging, no breakout yet
2026-08-08 01:29:22 | INFO | 🟢 HOLD_ADD   | HUM             | $    385.00 | Above all weekly EMAs
2026-08-08 01:29:24 | INFO | 🟢 HOLD_ADD   | HBAN            | $     17.55 | Above all weekly EMAs
2026-08-08 01:29:26 | INFO | 🟢 HOLD_ADD   | HII             | $    324.48 | Above all weekly EMAs
2026-08-08 01:29:28 | INFO | 🔴 EXIT       | IBM             | $    237.28 | Below 40W EMA
2026-08-08 01:29:31 | INFO | 🟢 HOLD_ADD   | IEX             | $    234.46 | Above all weekly EMAs
2026-08-08 01:29:33 | INFO | 🟢 HOLD_ADD   | IDXX            | $    586.67 | Above all weekly EMAs
2026-08-08 01:29:35 | INFO | 🟢 HOLD_ADD   | ITW             | $    296.66 | Above all weekly EMAs
2026-08-08 01:29:37 | INFO | 🟢 HOLD_ADD   | INCY            | $    120.56 | Above all weekly EMAs
2026-08-08 01:29:39 | INFO | 🟡 WAIT       | IR              | $     86.97 | EMAs converging, no breakout yet
2026-08-08 01:29:41 | INFO | 🔴 EXIT       | PODD            | $    141.17 | Below 40W EMA
2026-08-08 01:29:43 | INFO | 🟣 FADING     | INTC            | $    101.65 | Below 10W EMA - momentum fading
